City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
395,Flinders,AU,84.06,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
398,Micheweni,TZ,79.09,overcast clouds,-4.9667,39.8333,
399,General Roca,AR,77.63,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
400,Tadine,NC,81.97,overcast clouds,-21.55,167.8833,
402,Kulhudhuffushi,MV,81.25,few clouds,6.6221,73.07,Haajy Guest House 1
403,Manokwari,ID,79.92,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
404,Puerto Carreno,CO,84.69,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
405,Porto Belo,BR,75.15,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
406,Neuquen,AR,76.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
408,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
411,Poum,NC,80.49,overcast clouds,-20.2333,164.0167,Gîte kajeon
415,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
419,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
422,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
426,Ewo,CG,79.54,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
427,San Ignacio,BZ,75.34,clear sky,17.1561,-89.0714,Rainforest Haven Inn
430,Dingle,PH,78.4,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
432,Yulara,AU,75.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
435,Kattivakkam,IN,77.07,clear sky,13.2167,80.3167,Euronova Freezer
436,Sumenep,ID,79.45,moderate rain,-7.0167,113.8667,OYO 3271 Homestay Pandian
442,Oussouye,SN,75.38,overcast clouds,12.485,-16.5469,Auberge du Routard
443,Nabire,ID,78.28,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
444,Champerico,GT,86.54,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
455,Presidencia Roque Saenz Pena,AR,81.43,clear sky,-26.7852,-60.4388,Hotel Gualok
459,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
461,Kieta,PG,84.99,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
463,Beira,MZ,77.09,few clouds,-19.8436,34.8389,Beira Terrace Hotel
469,Puerto Madero,MX,84.4,few clouds,14.7208,-92.4215,Hospedaje madero
483,Saint-Joseph,RE,77.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
492,Katobu,ID,82.18,overcast clouds,-4.9408,122.5276,La Ode Husein
494,Puerto Escondido,MX,85.03,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
503,Sassandra,CI,77.56,scattered clouds,4.95,-6.0833,la terrasse
508,Bubaque,GW,77.99,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
510,Lazaro Cardenas,MX,81.16,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
517,Noumea,NC,85.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
523,Iralaya,HN,77.09,overcast clouds,15.0,-83.2333,Iglesia morava renovada
527,Gladstone,AU,84.13,scattered clouds,-23.85,151.25,Highpoint International Hotel
535,Cap Malheureux,MU,79.29,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
536,Tual,ID,84.04,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
541,Makakilo City,US,77.68,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
546,Imbituba,BR,75.81,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
552,Hambantota,LK,75.58,few clouds,6.1241,81.1185,Bungalow 63
554,Kolondieba,ML,75.63,scattered clouds,11.0882,-6.8926,Hotel Dakan
555,Maldonado,UY,76.39,clear sky,-34.6667,-54.9167,La Cimarrona
560,Koundara,GN,81.01,clear sky,12.4833,-13.3,
563,Jizan,SA,76.14,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
564,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
568,Kilindoni,TZ,79.68,light rain,-7.9139,39.6668,Bustani B&B
575,Omboue,GA,78.44,overcast clouds,-1.5746,9.2618,Hotel Olako
579,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
583,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
596,Gamba,GA,77.67,overcast clouds,-2.65,10.0,
599,Takoradi,GH,78.28,broken clouds,4.8845,-1.7554,Raybow International Hotel
616,Alyangula,AU,84.07,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
622,Sampit,ID,75.04,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
625,Nhulunbuy,AU,84.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
629,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Poutur Pousada
634,Itarema,BR,77.65,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
639,Ulladulla,AU,83.88,clear sky,-35.35,150.4667,Sandpiper Motel
641,Le Vauclin,MQ,76.84,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
644,Muisne,EC,76.46,light rain,0.6,-80.0333,Quinta Samay
651,Terre-De-Bas,GP,76.51,clear sky,15.8501,-61.6442,Hôtel Bois Joli
652,Coruripe,BR,79.54,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
663,Mahibadhoo,MV,81.61,broken clouds,3.7833,72.9667,Omadhoo Inn
668,Paulista,BR,84.06,scattered clouds,-7.9408,-34.8731,Hotel Chanceller
679,Pilar,BR,78.73,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
683,Lakes Entrance,AU,81.57,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
685,Moron,AR,81.99,clear sky,-34.6534,-58.6198,Hotel Morón
