City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,Fort-Shevchenko,KZ,2022-01-29 00:04:27,44.5086,50.263,33.17,72,66,13.56
200,Saint-Joseph,RE,2022-01-29 00:04:27,-21.3667,55.6167,73.78,70,3,6.13
201,Landau,DE,2022-01-29 00:04:27,49.2075,8.1133,39.78,86,100,6.78
202,New Norfolk,AU,2022-01-29 00:04:28,-42.7826,147.0587,66.9,57,98,1.99
203,Vanderhoof,CA,2022-01-29 00:04:28,54.0166,-124.0198,30.2,95,100,3.58
204,Paamiut,GL,2022-01-29 00:04:28,61.994,-49.6678,23.59,88,100,24.7
205,Constitucion,CL,2022-01-29 00:01:42,-35.3333,-72.4167,58.91,89,0,7.07
206,Severodvinsk,RU,2022-01-29 00:04:29,64.5635,39.8302,14.11,99,89,5.23
207,Tasiilaq,GL,2022-01-29 00:04:29,65.6145,-37.6368,15.96,69,48,6.64
208,Monte Santo,BR,2022-01-29 00:00:34,-10.4378,-39.3328,69.55,92,99,3.42
209,Souillac,MU,2022-01-29 00:04:30,-20.5167,57.5167,77.36,86,30,7.31
210,Kruisfontein,ZA,2022-01-29 00:03:38,-34.0033,24.7314,63.88,83,41,3.94
211,La Grande,US,2022-01-28 23:59:59,45.3246,-118.0877,35.53,62,48,7.94
212,Usinsk,RU,2022-01-29 00:04:30,65.9939,57.5281,1.09,96,99,12.75
213,Lorengau,PG,2022-01-28 23:59:31,-2.0226,147.2712,81.77,81,98,5.23
214,Dymer,UA,2022-01-29 00:04:31,50.7865,30.3026,34.56,91,99,17.45
215,Nikolskoye,RU,2022-01-29 00:04:31,59.7035,30.7861,24.69,95,100,7.92
216,Punta Gorda,US,2022-01-29 00:00:07,26.9298,-82.0454,66.0,82,92,1.99
217,Yangjiang,CN,2022-01-29 00:00:25,21.85,111.9667,63.43,92,17,4.25
218,Lunglei,IN,2022-01-29 00:04:32,22.8833,92.7333,39.42,81,0,3.27
219,Faanui,PF,2022-01-29 00:04:32,-16.4833,-151.75,81.5,73,9,15.84
220,Chernyshevskiy,RU,2022-01-29 00:04:33,63.0128,112.4714,-23.22,100,43,2.77
221,Broome,US,2022-01-29 00:04:33,42.2506,-75.833,20.17,78,100,1.99
222,Lima,PE,2022-01-29 00:03:12,-12.0432,-77.0282,70.39,79,40,13.8
223,Saldanha,ZA,2022-01-29 00:04:34,-33.0117,17.9442,63.63,82,0,16.96
224,Verkhnyaya Inta,RU,2022-01-29 00:05:34,65.9811,60.3094,-3.55,98,99,6.26
